recall,epoch,stage
0.07308970099667775,1,eval
0.09671465485418984,1,train
0.2358803986710963,2,eval
0.2790697674418605,2,train
0.5038759689922481,3,eval
0.6037283130306388,3,train
0.6566998892580288,4,eval
0.7875599852344041,4,train
0.7452934662236989,5,eval
0.8903654485049841,5,train
0.7452934662236989,6,eval
0.9412144702842378,6,train
0.769656699889258,7,eval
0.9702842377260992,7,train
0.7729789590254706,8,eval
0.984219269102991,8,train
0.7763012181616834,9,eval
0.9942783314876341,9,train
0.7940199335548171,10,eval
0.9977851605758584,10,train
