k,response,cos,sin
1.0,181.5635386472716,181.40465375505016,7.594087313802391
2.0,182.63591761831495,182.0544038156985,14.562707701334576
3.0,183.90522887889472,182.79059404540723,20.217119911742696
4.0,185.06708447684093,183.53266635550327,23.782054940599455
5.0,185.7009228587846,184.0852774930097,24.442654539265565
6.0,185.401046415774,184.15330905836316,21.473396911503496
7.0,183.96278330485342,183.39544402927305,14.436646098531245
8.0,181.5469997843749,181.51491995434546,3.4127649604651364
9.0,178.7030314974672,178.37650927855995,-10.797888866837514
10.0,176.14310929792288,174.1273315357497,-26.57192814567865
11.0,174.306753339011,169.28838828814818,-41.52452107355356
12.0,173.02337241699715,164.77791562219448,-52.7761871089211
13.0,171.71678947127506,161.8315320405266,-57.421346411750186
14.0,170.3037823600557,161.80119235620816,-53.138991693958026
15.0,170.33026394669233,165.84510847033584,-38.83038517208418
16.0,175.21343415701986,174.55890968192347,-15.130583589353776
17.0,188.2620628935803,187.63408960047855,15.364008095089536
18.0,209.29260965277962,203.64996943591544,48.27096854240128
19.0,233.52306142298468,220.09796425413148,78.0378520177877
20.0,253.77275965389836,233.69604727540502,98.92811041461842
21.0,263.34351816516335,240.98131622094837,106.19705171060544
22.0,258.08824729237426,239.0850487576739,97.2002204266556
23.0,237.7367655526804,226.5214366811729,72.15821796127938
24.0,206.6596569218325,203.78375892559123,34.356853715176314
25.0,173.8649571236859,173.5585822123362,-10.317066252810305
26.0,150.6271552622928,140.44362582529905,-54.44380467467584
27.0,142.59437107102212,110.17399832914442,-90.52538181808478
28.0,143.13552001498044,88.49446207772144,-112.50114342322745
29.0,141.66929899318131,79.92409149154638,-116.9714917254214
30.0,135.28425909203548,86.70965811309023,-103.84250549746955
31.0,132.39513228088748,108.23586152548488,-76.24611027134273
32.0,146.55642979890567,141.05711160244894,-39.77032036300218
33.0,179.5668125337298,179.56278861189455,-1.2021270497511856
34.0,219.60644554851476,217.12743213085812,32.90393810339996
35.0,254.06499869356773,247.47421906492661,57.49377757085787
36.0,274.94805168362507,265.9290529583687,69.84389677907798
37.0,279.1468572154307,270.27719425282913,69.80835308235342
38.0,267.73644379608186,261.04317089956515,59.49173273046379
39.0,244.88038751098665,241.16522554615156,42.493978100488995
40.0,216.40579623964004,215.18470399971602,22.956737805428727
41.0,188.23585632121575,188.17826761246047,4.655878365527272
42.0,164.9841724365746,164.7008879781007,-9.664090945686578
43.0,149.1410880869904,147.9756329988317,-18.6084979073136
44.0,141.218369148034,139.47831162405294,-22.100415637131807
45.0,140.54075231722737,138.95106126981503,-21.078558629193868
46.0,145.77341253934364,144.77250876979636,-17.053108451684242
47.0,154.9788904950234,154.54018499263395,-11.652798870268187
48.0,165.81536377828135,165.69687870823913,-6.2673161138459825
49.0,176.06427183983422,176.0546513851958,-1.8405282198928834
50.0,184.12784838792766,184.12406450297303,1.1804333410675243
51.0,189.24184759420353,189.22151743138338,2.7738460361819217
52.0,191.41190897549404,191.3851071955462,3.203067497275671
53.0,191.18743892940913,191.16603021337264,2.861065683699143
54.0,189.38592201191202,189.37382532887264,2.140499150117725
55.0,186.84807036978654,186.84318862227346,1.3506540542417362
56.0,184.26740364055718,184.26613415028876,0.6839954238240628
57.0,182.10582447699414,182.10568912730244,0.22202683639014015
58.0,180.58406200621383,180.58405846200097,-0.03577787991152706
59.0,179.7237900211389,179.72373865907593,-0.135874819640666
60.0,179.4152607828964,179.41520694470245,-0.13899202971110355
61.0,179.48767139561997,179.48764417527065,-0.09885056138936413
62.0,179.7664622369673,179.76645466489566,-0.05217670939995229
63.0,180.10989720122978,180.10989633763754,-0.017637545679606206
64.0,180.42451630363308,180.42451630363308,2.296064813972487e-13
65.0,180.66399432919818,180.6639942853716,0.003979418303548572
66.0,180.81813606722392,180.81813606687493,0.0003552584812880193
67.0,180.8985589676117,180.89855888753303,-0.005382586311589491
68.0,180.92588872856643,180.92588846439236,-0.009777109172670818
