seqid,start,end,source,type,score,strand,phase,attributes
contig_32,274090,274378,ena,CDS,.,+,0,.
contig_32,272577,273933,ena,CDS,.,+,0,.
contig_32,272267,272573,ena,CDS,.,+,0,.
contig_32,271165,272215,ena,CDS,.,+,0,.
contig_32,270447,270921,ena,CDS,.,+,0,.
contig_32,269883,270438,ena,CDS,.,+,0,.
contig_32,269275,269851,ena,CDS,.,+,0,.
contig_32,267891,269274,ena,CDS,.,+,0,.
contig_32,267166,267643,ena,CDS,.,+,0,.
contig_32,265214,266621,ena,CDS,.,+,0,.
contig_32,263192,264716,ena,CDS,.,+,0,.
contig_32,259896,261489,ena,CDS,.,+,0,.
contig_32,259220,259778,ena,CDS,.,+,0,.
contig_32,254900,255107,ena,CDS,.,+,0,.
contig_32,253140,253335,ena,CDS,.,+,0,.
contig_32,252456,252819,ena,CDS,.,+,0,.
contig_32,251251,251344,ena,CDS,.,+,0,.
contig_32,250759,250936,ena,CDS,.,+,0,.
contig_32,249466,249679,ena,CDS,.,+,0,.
contig_32,247054,247384,ena,CDS,.,+,0,.
contig_32,244045,244636,ena,CDS,.,+,0,.
contig_32,243311,243482,ena,CDS,.,+,0,.
contig_32,241785,241923,ena,CDS,.,+,0,.
contig_32,239224,241108,ena,CDS,.,+,0,.
contig_32,237463,239035,ena,CDS,.,+,0,.
contig_32,236050,236512,ena,CDS,.,+,0,.
contig_32,235904,236012,ena,CDS,.,+,0,.
contig_32,234525,235881,ena,CDS,.,+,0,.
contig_32,233142,234414,ena,CDS,.,+,0,.
contig_32,232577,233117,ena,CDS,.,+,0,.
contig_32,231364,232453,ena,CDS,.,+,0,.
contig_32,230519,230918,ena,CDS,.,+,0,.
contig_32,229959,230253,ena,CDS,.,+,0,.
contig_32,228947,229529,ena,CDS,.,+,0,.
contig_32,228257,228803,ena,CDS,.,+,0,.
contig_32,226537,228094,ena,CDS,.,+,0,.
contig_32,225879,226455,ena,CDS,.,+,0,.
contig_32,225547,225877,ena,CDS,.,+,0,.
contig_32,224354,225380,ena,CDS,.,+,0,.
contig_32,223100,224345,ena,CDS,.,+,0,.
contig_32,222326,222893,ena,CDS,.,+,0,.
contig_32,220863,221460,ena,CDS,.,+,0,.
contig_32,219810,220650,ena,CDS,.,+,0,.
contig_32,216287,216896,ena,CDS,.,+,0,.
contig_32,213779,215198,ena,CDS,.,+,0,.
contig_32,211692,213591,ena,CDS,.,+,0,.
contig_32,210985,211609,ena,CDS,.,+,0,.
contig_32,209885,210818,ena,CDS,.,+,0,.
contig_32,209243,209825,ena,CDS,.,+,0,.
