seqid,start,end,source,type,score,strand,phase,attributes
DN38.contig00001,341936,342056,ena,CDS,.,+,0,.
DN38.contig00001,334690,336820,ena,CDS,.,+,0,.
DN38.contig00001,333343,334540,ena,CDS,.,+,0,.
DN38.contig00001,332129,332423,ena,CDS,.,+,0,.
DN38.contig00001,330193,330580,ena,CDS,.,+,0,.
DN38.contig00001,329662,329971,ena,CDS,.,+,0,.
DN38.contig00001,326167,327118,ena,CDS,.,+,0,.
DN38.contig00001,324254,324446,ena,CDS,.,+,0,.
DN38.contig00001,323462,323936,ena,CDS,.,+,0,.
DN38.contig00001,322768,323053,ena,CDS,.,+,0,.
DN38.contig00001,320489,321776,ena,CDS,.,+,0,.
DN38.contig00001,318296,318476,ena,CDS,.,+,0,.
DN38.contig00001,317803,318202,ena,CDS,.,+,0,.
DN38.contig00001,316428,316599,ena,CDS,.,+,0,.
DN38.contig00001,315591,315858,ena,CDS,.,+,0,.
DN38.contig00001,312729,313218,ena,CDS,.,+,0,.
DN38.contig00001,307582,308953,ena,CDS,.,+,0,.
DN38.contig00001,307171,307525,ena,CDS,.,+,0,.
DN38.contig00001,305769,306885,ena,CDS,.,+,0,.
DN38.contig00001,303745,304153,ena,CDS,.,+,0,.
DN38.contig00001,301527,301752,ena,CDS,.,+,0,.
DN38.contig00001,301142,301454,ena,CDS,.,+,0,.
DN38.contig00001,300919,301027,ena,CDS,.,+,0,.
DN38.contig00001,300212,300458,ena,CDS,.,+,0,.
DN38.contig00001,299815,300106,ena,CDS,.,+,0,.
DN38.contig00001,297349,297556,ena,CDS,.,+,0,.
DN38.contig00001,292904,293174,ena,CDS,.,+,0,.
DN38.contig00001,291178,291397,ena,CDS,.,+,0,.
DN38.contig00001,290151,290439,ena,CDS,.,+,0,.
DN38.contig00001,288845,289130,ena,CDS,.,+,0,.
DN38.contig00001,285420,286950,ena,CDS,.,+,0,.
DN38.contig00001,284793,285072,ena,CDS,.,+,0,.
DN38.contig00001,282307,283162,ena,CDS,.,+,0,.
DN38.contig00001,280353,282000,ena,CDS,.,+,0,.
DN38.contig00001,279734,280244,ena,CDS,.,+,0,.
DN38.contig00001,278651,279545,ena,CDS,.,+,0,.
DN38.contig00001,278127,278619,ena,CDS,.,+,0,.
DN38.contig00001,276088,276637,ena,CDS,.,+,0,.
DN38.contig00001,275589,275898,ena,CDS,.,+,0,.
DN38.contig00001,273928,275404,ena,CDS,.,+,0,.
DN38.contig00001,269737,270664,ena,CDS,.,+,0,.
DN38.contig00001,268166,269675,ena,CDS,.,+,0,.
DN38.contig00001,267420,268158,ena,CDS,.,+,0,.
DN38.contig00001,266329,267301,ena,CDS,.,+,0,.
DN38.contig00001,265489,266218,ena,CDS,.,+,0,.
DN38.contig00001,264779,265352,ena,CDS,.,+,0,.
DN38.contig00001,264552,264765,ena,CDS,.,+,0,.
DN38.contig00001,262091,262265,ena,CDS,.,+,0,.
DN38.contig00001,260382,261639,ena,CDS,.,+,0,.
DN38.contig00001,259368,260067,ena,CDS,.,+,0,.
DN38.contig00001,258202,259261,ena,CDS,.,+,0,.
DN38.contig00001,256620,258030,ena,CDS,.,+,0,.
